node,type,degree,weighted_degree,pagerank,community
ZZ,state,1,5.49038296229,0.007484061896212973,0
WA,state,1,6.13242142743,0.008089380033114848,0
WV,state,1,6.13122648948,0.008088253437664762,0
DE,state,1,6.14851103005,0.008104549417521291,0
DC,state,1,5.60785877335,0.007594818872535833,0
WI,state,1,7.61360642141,0.009485851100884103,0
NO,state,1,6.50555981974,0.008441177392156878,0
HI,state,1,9.03394442403,0.010824955220338058,0
FL,state,1,6.50555981974,0.008441177392156878,0
WY,state,1,4.05560373391,0.006131342493024083,0
NH,state,1,5.42552254078,0.007422911059247867,0
NJ,state,1,7.63658326075,0.00950751381789616,0
NM,state,1,6.98625217712,0.008894377345104844,0
TX,state,1,6.52095980363,0.008455696599436121,0
LA,state,1,7.92417365891,0.00977865595883801,0
NB,state,1,6.87667732341,0.008791069443942614,0
NC,state,1,6.16304108237,0.008118248447528023,0
ND,state,1,5.60785877335,0.007594818872535833,0
NE,state,1,7.1987070003,0.009094681166021698,0
TN,state,1,5.53417969027,0.007525353742765299,0
NY,state,1,5.29831736655,0.007302981174591514,0
PA,state,1,5.71396380193,0.0076948553994781255,0
CA,state,1,6.16304108237,0.008118248447528023,0
NV,state,1,6.11869173493,0.00807643558767181,0
VA,state,1,5.69150744378,0.007673683395595157,0
CH,state,1,8.22794455922,0.010065053184868007,0
CO,state,1,2.30258509299,0.004478584854204787,0
ON,state,1,7.79296392901,0.00965495055245064,0
VI,state,1,5.33484214123,0.007337416975186791,0
AK,state,1,6.26782653853,0.008217040872812624,0
AL,state,1,5.71396380193,0.0076948553994781255,0
BI,state,1,5.07517381523,0.0070925999496640685,0
VQ,state,1,5.63767828405,0.007622932905635568,0
XX,state,1,3.21887582487,0.005342469852997053,0
AR,state,1,4.57409223042,0.006620176897430136,0
VT,state,1,7.16985027643,0.009067474854751435,0
IL,state,1,8.21267145775,0.010050653603178588,0
GA,state,1,5.81239768803,0.007787659522248356,0
IN,state,1,6.00807581291,0.0079721461603799,0
IA,state,1,8.82519834394,0.01062814802708353,0
OK,state,1,6.21460809842,0.008166866173374351,0
AZ,state,1,7.81793537892,0.009678493801579747,0
ID,state,1,6.52414950523,0.008458703871328098,0
CT,state,1,5.63799873411,0.007623235028084333,0
ME,state,1,5.71141990179,0.0076924569934996405,0
MD,state,1,7.6632761391,0.009532680041212462,0
MA,state,1,4.24606371686,0.006310909432223774,0
MC,state,1,6.90775527898,0.008820369947239172,0
OH,state,1,6.34182207815,0.008286804359914694,0
UT,state,1,7.49894171367,0.009377744451475739,0
MO,state,1,5.43925253347,0.007435855787712033,0
MN,state,1,5.53772789033,0.0075286990093907285,0
MI,state,1,5.46991495998,0.007464764527445993,0
RI,state,1,6.16304108237,0.008118248447528023,0
KS,state,1,5.78228553614,0.007759269585087525,0
MT,state,1,4.60517018599,0.006649477400726693,0
UN,state,1,6.38465462434,0.008327187169459977,0
SN,state,1,6.50555981974,0.008441177392156878,0
MS,state,1,7.92298595871,0.009777536187186782,0
PR,state,1,6.21460809842,0.008166866173374351,0
SC,state,1,3.78123071518,0.005872661785354066,0
KY,state,1,6.2273071234,0.008178838898621721,0
OR,state,1,9.43405735884,0.011202184357531137,0
SD,state,1,7.5049805927,0.009383437946806454,0
0.0,candidate,64,399.79503846325997,0.4753782699055249,0
