iter	RMSE
0	0.2568224494
1	0.2524366567
2	0.2485540244
3	0.2446022549
4	0.2411059383
5	0.2379060652
6	0.2349047741
7	0.2321992233
8	0.2296456476
9	0.2272228548
10	0.2251185487
11	0.2230359952
12	0.2211852014
13	0.2195299032
14	0.2179576237
15	0.2167858409
16	0.2154481587
17	0.2142192768
18	0.2131124642
19	0.2120666931
20	0.2111528718
21	0.2102356903
22	0.209290946
23	0.208430313
24	0.2077608074
25	0.2070671013
26	0.2063859782
27	0.2058043203
28	0.2052141683
29	0.2046725448
30	0.2042251497
31	0.2037351284
32	0.2032786834
33	0.2029159839
34	0.2025990036
35	0.2022832398
36	0.2019729191
37	0.2016432381
38	0.2013392528
39	0.2010893796
40	0.2008647454
41	0.2006354304
42	0.2004191425
43	0.2001974817
44	0.2000113863
45	0.1998014297
46	0.1996436145
47	0.19949387
48	0.1993210515
49	0.1991669637
50	0.1989739407
51	0.1988135699
52	0.1986418144
53	0.1985027563
54	0.1983950131
55	0.1982605346
56	0.1981136793
57	0.1980046023
58	0.1979006047
59	0.1978174909
60	0.1977167453
61	0.1976391612
62	0.1975809067
63	0.1975177062
64	0.1974277631
65	0.1973184699
66	0.1972567483
67	0.1971711933
68	0.1971005439
69	0.1970147301
70	0.1969152898
71	0.1968758889
72	0.196781243
73	0.1967088151
74	0.196586739
75	0.1965272163
76	0.1964809784
77	0.1963932174
78	0.1963052247
79	0.196194896
80	0.1961374785
81	0.1960552344
82	0.1959640832
83	0.1959170819
84	0.1958486475
85	0.195770622
86	0.1956950288
87	0.1955945634
88	0.1955513777
89	0.1954649879
90	0.1954383348
91	0.1953732576
92	0.195342942
93	0.1953229529
94	0.1952372193
95	0.1951811715
96	0.1951415951
97	0.1951393614
98	0.1951093303
99	0.1950715687
100	0.1950451414
101	0.1950040181
102	0.1949576778
103	0.1948967966
104	0.1948571304
105	0.1947306295
106	0.194655555
107	0.1946203811
108	0.1945748981
109	0.1945526284
110	0.1944603073
111	0.1944276475
112	0.1943962119
113	0.194358397
114	0.1943274872
115	0.1942885339
116	0.1942490872
117	0.194229223
118	0.1942251682
119	0.1941983349
120	0.1941808504
121	0.194167925
122	0.1941641131
123	0.1941403978
124	0.1940480747
