iter	Passed	Remaining
0	64	38376
1	71	21349
2	78	15646
3	84	12587
4	91	10875
5	97	9682
6	105	8898
7	110	8206
8	117	7686
9	123	7303
10	129	6925
11	136	6665
12	142	6445
13	148	6212
14	154	6039
15	161	5881
16	167	5732
17	174	5633
18	179	5501
19	186	5420
20	193	5325
21	198	5226
22	205	5155
23	211	5081
24	217	5013
25	224	4963
26	230	4898
27	237	4847
28	243	4797
29	249	4739
30	256	4704
31	262	4655
32	268	4619
33	275	4585
34	281	4544
35	288	4518
36	293	4470
37	299	4432
38	306	4401
39	311	4367
40	318	4343
41	325	4326
42	331	4295
43	338	4281
44	344	4248
45	350	4217
46	356	4198
47	362	4169
48	368	4148
49	374	4117
50	380	4097
51	387	4082
52	392	4053
53	398	4033
54	405	4015
55	411	3992
56	418	3984
57	423	3961
58	429	3938
59	435	3918
60	441	3896
61	446	3871
62	451	3849
63	456	3825
64	462	3802
65	468	3789
66	473	3768
67	479	3750
68	484	3729
69	489	3704
70	494	3686
71	500	3667
72	505	3648
73	510	3630
74	516	3615
75	521	3598
76	527	3582
77	533	3571
78	539	3554
79	544	3539
80	550	3524
81	555	3508
82	560	3491
83	565	3476
84	570	3459
85	575	3442
86	581	3429
87	587	3415
88	592	3401
89	597	3387
90	603	3373
91	609	3364
92	615	3352
93	620	3338
94	625	3325
95	631	3315
96	636	3303
97	642	3288
98	647	3276
99	653	3266
100	658	3253
101	664	3244
102	669	3231
103	675	3220
104	680	3209
105	685	3196
106	691	3185
107	696	3173
108	701	3161
109	707	3150
110	713	3141
111	718	3129
112	724	3120
113	729	3111
114	735	3100
115	740	3091
116	746	3081
117	751	3069
118	756	3057
119	761	3047
120	767	3037
121	772	3027
122	777	3015
123	782	3004
124	788	2995
125	793	2985
126	798	2975
127	804	2965
128	809	2956
129	814	2945
130	819	2934
131	825	2925
132	831	2918
133	836	2909
134	841	2898
135	846	2888
136	851	2877
137	856	2868
138	862	2859
139	868	2852
140	873	2843
141	878	2833
142	883	2824
143	889	2816
144	894	2808
145	900	2799
146	904	2788
147	910	2781
148	916	2774
149	921	2765
150	928	2760
151	933	2752
152	939	2744
153	944	2735
154	949	2725
155	954	2716
156	960	2708
157	965	2699
158	970	2691
159	976	2684
160	981	2676
161	986	2667
162	992	2660
163	997	2652
164	1003	2645
165	1008	2636
166	1013	2628
167	1018	2619
168	1024	2611
169	1029	2604
170	1035	2596
171	1040	2588
172	1045	2580
173	1050	2572
174	1056	2564
175	1061	2557
176	1067	2550
177	1072	2541
178	1077	2533
179	1082	2525
180	1087	2517
181	1093	2510
182	1098	2502
183	1103	2494
184	1108	2487
185	1113	2479
186	1118	2471
187	1124	2464
188	1129	2457
189	1135	2450
190	1141	2444
191	1146	2436
192	1151	2428
193	1157	2421
194	1162	2413
195	1167	2406
196	1172	2399
197	1178	2391
198	1183	2384
199	1188	2377
200	1194	2370
201	1199	2363
202	1204	2355
203	1210	2349
204	1215	2341
205	1220	2334
206	1225	2326
207	1230	2319
208	1235	2311
209	1241	2305
210	1246	2298
211	1251	2290
212	1256	2283
213	1261	2275
214	1266	2268
215	1272	2262
216	1277	2255
217	1282	2247
218	1288	2240
219	1293	2233
220	1298	2226
221	1303	2219
222	1309	2212
223	1314	2206
224	1319	2199
225	1325	2193
226	1330	2186
227	1336	2180
228	1341	2173
229	1346	2166
230	1352	2160
231	1357	2153
232	1362	2146
233	1368	2139
234	1372	2132
235	1378	2125
236	1383	2118
237	1388	2111
238	1393	2104
239	1398	2097
240	1403	2090
241	1408	2083
242	1413	2077
243	1418	2070
244	1424	2063
245	1428	2056
246	1433	2049
247	1439	2043
248	1444	2036
249	1449	2029
250	1454	2022
251	1460	2016
252	1465	2010
253	1471	2003
254	1476	1996
255	1481	1990
256	1486	1984
257	1492	1978
258	1497	1971
259	1503	1965
260	1508	1958
261	1513	1952
262	1518	1946
263	1524	1940
264	1529	1933
265	1535	1927
266	1540	1920
267	1545	1914
268	1550	1907
269	1555	1901
270	1560	1894
271	1565	1888
