node,type,degree,weighted_degree,pagerank,community
"CARVIN, JOE RYE BROOK 10573 NY",contributor,1,1424.61,0.0007641975737619261,0
"MILLER-MEEKS, MARIANNETTE OTTUMWA 52501 IA",contributor,42,7864618.119999993,0.0007757076772174223,0
"NORCROSS, DONALD CAMDEN 8102 NJ",contributor,46,37273524.98999998,0.0008080811774733315,1
NATIONAL ASSOCIATION OF REALTORS CHICAGO 60611 IL,contributor,180,10415280964.10131,0.014226778052480165,1
"STERN, DIANNE B SCARSDALE 10583 NY",contributor,127,657462903.7600048,0.0017590905316033122,1
"LAUFER, MARSHA ZLATIN LANTANA 33462 FL",contributor,126,867935194.29,0.001958507086019761,1
"LEPPERT, THOMAS C DALLAS 75220 TX",contributor,60,39159998.51999998,0.0008771536484780909,0
HUMANA WASHINGTON 20004 DC,contributor,171,5731661609.12994,0.008281975553529206,0
FREEDOM PROJECT WASHINGTON 20003 DC,contributor,143,3432416917.999928,0.0072603364161356486,0
DELOITTE WASHINGTON 20044 DC,contributor,171,8810892473.14064,0.012194807280133823,0
"MANOCHERIAN, BERNICE NEW YORK 10023 NY",contributor,142,937743328.1200063,0.002038788139501608,1
JOE SESTAK CAMPAIGN CMTE MEDIA 19063 PA,contributor,95,176248089.89000002,0.0010434189240586583,1
BUILDING RELATIONSHIPS IN DIVERSE GEOGRAPHIC ENVIRONMENTS WASHINGTON 20003 DC,contributor,129,1619045781.3199492,0.0028255957856279782,1
"FREEMAN, WILLIAM H (BILL) NASHVILLE 37215 TN",contributor,115,237619677.44999984,0.0011024797734443634,1
"GREENBERG, MARK D LITCHFIELD 6759 CT",contributor,20,2501450.0200000005,0.0024839967505795326,0
"DIDIER, CLINT PASCO 99301 WA",contributor,15,458319.01999999996,0.0007647724599303164,0
AMERICAN ACADEMY OF FAMILY PHYSICIANS WASHINGTON 20036 DC,contributor,165,4725693084.809918,0.006859648438495972,1
"MCKELLAR, MARIE T DOBBS FERRY 10522 NY",contributor,121,565102882.4700023,0.0015448215267396003,1
NATIONAL ASSOCIATION OF BROADCASTERS WASHINGTON 20036 DC,contributor,174,8568574135.670567,0.011869988351194837,0
NATIONAL ELECTRICAL CONTRACTORS ASSOCIATION / NECA BETHESDA 20814 MD,contributor,174,6272081842.150045,0.009038831036645965,0
CSX TRANSPORTATION WASHINGTON 20004 DC,contributor,178,7996193367.100459,0.011117136313486452,0
"CULLENBERG, DAVID P LYME 3768 NH",contributor,33,7639866.960000003,0.0007767670445412219,1
NATIONAL REPUBLICAN CONGRESSIONAL CMTE WASHINGTON 20003 DC,contributor,131,1272374208.0199914,0.002796640825537498,0
"CHRISTOPHER, PHILIP COMMACK 11725 NY",contributor,144,658745484.4700092,0.0016235431730854642,1
NATIONAL MULTIFAMILY HOUSING COUNCIL WASHINGTON 20036 DC,contributor,171,7205374320.34017,0.010110019611559643,0
"TRONE, DAVID JOHN POTOMAC 20854 MD",contributor,117,75981930.78999987,0.0008733331567191341,1
"PORTER, RICHARD W WINNETKA 60093 IL",contributor,129,627075714.610006,0.0017076578452603027,0
"MCMAHON, LINDA E STAMFORD 6901 CT",contributor,84,41170925.49999996,0.000867629696614589,0
INDEPENDENT COMMUNITY BANKERS OF AMERICA WASHINGTON 20036 DC,contributor,173,8261469907.770459,0.011502387808160878,0
