node,type,degree,weighted_degree,pagerank,community
"MCGUIRE, PERRY J DOUGLASVILLE 30135 GA",contributor,3,345761.63,0.0018994076768546007,9
"HANCE, KENT R AUSTIN 78701 TX",contributor,25,58448687.019999966,0.006524649330856965,1
PHILADELPHIA TRIAL LAWYERS ASSOCIATION PHILADELPHIA 19107 PA,contributor,6,1994744.83,0.0010550136516612866,8
"STRICKLAND, DEANNA L BROOKLET 30415 GA",contributor,0,0.0,0.0009059252178906251,11
LAW OFFICES OF PETER G ANGELOS BALTIMORE 21201 VA,contributor,0,0.0,0.0009059252178906251,12
"ELGIN, ROBERT L UNIVERSITY CITY 63130 MO",contributor,7,1985174.1500000008,0.010142896782824016,7
"BRISBANE, CHARLES LOCUST VALLEY 11560 NY",contributor,0,0.0,0.0009059252178906251,13
"KRAMER, ORIN S NEW YORK 10022 NY",contributor,51,53963131.33000003,0.006437503415192071,2
"FERNANDEZ, RAUL J RESTON 20191 VA",contributor,12,3266187.04,0.0018596746997678847,3
"STEFANI, JOHN J CLARKSBURG 8510 NJ",contributor,20,18580963.380000036,0.002147309516844155,0
LOUISIANA MANUFACTURERS ASSOCIATION BATON ROUGE 70825 LA,contributor,0,0.0,0.0009059252178906251,14
"MURPHY, MARK B ROSWELL 88202 NM",contributor,10,911170.6000000001,0.004073939862866894,6
ANDREWS & KURTH HOUSTON 77002 TX,contributor,31,278253414.53999954,0.017693888270405612,1
"MEARA, BRIAN R BAYSIDE 11361 NY",contributor,30,52298395.99000003,0.006560770467162039,2
"SANDEL, JERRY W FARMINGTON 87401 NM",contributor,12,4058717.4700000007,0.007798173436219703,6
BALBONI FOR SENATE DIX HILLS 11746 NY,contributor,17,9657650.780000003,0.001948507169591536,2
"BLITZ, ROBERT D FRONTENAC 63131 MO",contributor,5,1823611.41,0.0075641585301548285,7
"OPPENHEIMER, SUZI MAMARONECK 10543 NY",contributor,7,2201075.13,0.0011277699999508492,2
REPUBLICAN ASSEMBLY CAMPAIGN CMTE OF NEW YORK ALBANY 12210 NY,contributor,12,4472171.749999999,0.0013580106014223032,2
CAMDEN COUNTY DEMOCRATIC CENTRAL CMTE OF NEW JERSEY CHERRY HILL 8003 NJ,contributor,12,9614788.339999998,0.0015787586959246547,0
REPUBLICAN NATIONAL STATE ELECTIONS CMTE WASHINGTON 20003 NM,contributor,0,0.0,0.0009059252178906251,15
NORTH CAROLINA ADVOCATES FOR JUSTICE RALEIGH 27605 NC,contributor,21,33868190.85000022,0.01500634272494155,4
"KEOUGH, BRUCE W DUBLIN 3444 NH",contributor,2,10559372.879999999,0.005208411891827208,3
BRACEWELL & GIULIANI HOUSTON 77002 TX,contributor,26,89511146.32000025,0.007057153982717719,1
"BARNHILL JR, ROBERT E (BOB) TARBORO 27886 NC",contributor,20,10384050.330000004,0.004805113618236443,4
"PADRON, ERIC C MIAMI 33233 FL",contributor,0,0.0,0.0009059252178906251,16
REED SMITH LLP RICHMOND 23219 VA,contributor,20,67464092.6499996,0.014529888794587123,3
GEORGIA APARTMENT ASSOCIATION ATLANTA 30350 GA,contributor,7,3473183.510000015,0.011490818636459073,9
"RIDDICK, WINSTON W BATON ROUGE 70806 LA",contributor,0,0.0,0.0009059252178906251,17
"HEAVIN, HOWARD (GARY) GATESVILLE 76528 VA",contributor,0,0.0,0.0009059252178906251,18
"RYAN, GEORGE (BRINT) & AMANDA S DALLAS 75229 TX",contributor,13,20309871.579999994,0.0021538888042552705,1
SEIU HEALTHCARE ILLINOIS / INDIANA CHICAGO 60604 IL,contributor,6,1657217.5799999973,0.0016209656354319352,5
CONNECTICUT REPUBLICAN PARTY HARTFORD 6106 CT,contributor,1,113452.71,0.0009354756732632524,3
"DEWHURST III, DAVID H HOUSTON 77027 TX",contributor,17,2906850.46,0.0011659636279359878,1
"SHAMI, FAROUK M THE WOODLANDS 77380 TX",contributor,11,879605.75,0.0009613950742228493,1
"KRUEGER, LIZ NEW YORK 10075 NY",contributor,20,14588170.750000002,0.0024916065611428426,2
AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES / AFSCME WASHINGTON 20036 VA,contributor,0,0.0,0.0009059252178906251,19
ONE VIRGINIA PAC RICHMOND 23218 VA,contributor,8,6964607.86000001,0.002586503876431749,3
NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE ALBANY 12210 NY,contributor,16,13164504.879999997,0.002245039480846236,2
