index,winner_ratio
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,0.6666666666666666
6,1.0
7,0.0
8,1.0
9,1.0
10,0.0
11,0.0
12,1.0
13,0.3333333333333333
14,0.5
15,1.0
16,1.0
17,1.0
18,0.0
19,1.0
20,1.0
21,0.0
22,0.3333333333333333
23,0.6666666666666666
24,1.0
25,0.0
26,1.0
27,1.0
28,0.0
29,1.0
30,1.0
31,0.0
32,0.5
33,1.0
34,1.0
35,1.0
36,0.0
37,1.0
38,1.0
39,1.0
40,1.0
41,1.0
42,0.5
43,0.0
44,0.6666666666666666
45,0.0
46,1.0
47,0.6666666666666666
48,1.0
49,0.0
50,1.0
51,1.0
52,1.0
53,0.6666666666666666
54,1.0
55,0.6666666666666666
56,1.0
57,0.5
58,1.0
59,0.3333333333333333
60,1.0
61,1.0
62,0.0
63,1.0
64,0.0
65,1.0
66,0.0
67,0.6666666666666666
68,1.0
69,0.0
70,0.6666666666666666
71,1.0
72,0.0
73,1.0
74,0.0
75,0.0
76,1.0
77,0.6666666666666666
78,0.0
79,1.0
80,1.0
81,1.0
82,1.0
83,1.0
84,0.6666666666666666
85,0.0
86,0.3333333333333333
87,0.0
88,0.3333333333333333
89,0.0
90,1.0
91,0.6666666666666666
92,1.0
93,0.6666666666666666
94,1.0
95,1.0
96,0.0
97,0.6666666666666666
98,0.0
99,0.0
100,1.0
101,1.0
102,0.0
103,0.6666666666666666
104,0.0
105,1.0
106,0.6666666666666666
107,0.0
108,1.0
109,0.3333333333333333
110,0.0
111,0.3333333333333333
112,0.6666666666666666
113,1.0
114,0.0
115,0.6666666666666666
116,0.0
117,1.0
118,0.0
119,1.0
120,0.0
121,0.3333333333333333
122,0.0
123,0.0
124,0.5
125,1.0
126,1.0
127,0.0
128,0.0
129,1.0
130,0.0
131,0.6666666666666666
132,0.0
133,0.0
134,0.0
135,1.0
136,0.6666666666666666
137,0.3333333333333333
138,0.0
139,0.6666666666666666
140,1.0
141,0.6666666666666666
142,0.3333333333333333
143,0.5
144,0.0
145,0.0
146,1.0
147,0.0
148,0.6666666666666666
149,1.0
150,1.0
151,1.0
152,1.0
153,0.0
154,1.0
155,1.0
156,0.0
157,0.6666666666666666
158,1.0
159,0.6666666666666666
160,0.5
161,1.0
162,0.6666666666666666
163,0.3333333333333333
164,1.0
165,1.0
166,0.6666666666666666
167,1.0
168,1.0
169,0.5
170,0.0
171,1.0
172,1.0
173,0.6666666666666666
174,1.0
175,0.0
