index,winner_ratio
0,0.8202924
1,0.8788686
2,0.6577411
3,0.40786722
4,0.86823684
5,0.64212793
6,0.70961076
7,0.12846711
8,0.9122013
9,0.9160366
10,0.42558536
11,0.048693243
12,0.33256984
13,0.40843818
14,0.35897908
15,0.8654388
16,0.2216639
17,0.8848044
18,0.5517931
19,0.9014112
20,0.6866812
21,0.015691578
22,0.28027052
23,0.7151097
24,0.42259148
25,0.67707324
26,0.5921053
27,0.9446976
28,0.6849217
29,0.40440822
30,0.8997601
31,0.3921045
32,0.69383436
33,0.95283294
34,0.9213562
35,0.47450736
36,0.3921045
37,0.8566823
38,0.967953
39,0.78116137
40,0.966616
41,0.94516647
42,0.7187625
43,0.4612936
44,0.70761645
45,0.42184424
46,0.84725636
47,0.7247655
48,0.80415165
49,0.5037129
50,0.91899663
51,0.6457951
52,0.8687496
53,0.60991806
54,0.37107676
55,0.4630688
56,0.7914421
57,0.45999813
58,0.6448868
59,0.4778977
60,0.6074885
61,0.966616
62,0.56119084
63,0.71522146
64,0.05403412
65,0.7976154
66,0.23348494
67,0.656102
68,0.8987775
69,0.10934141
70,0.7628903
71,0.8537904
72,0.5803345
73,0.5768019
74,0.3921045
75,0.42184424
76,0.8522273
77,0.6401806
78,0.2682477
79,0.9745416
80,0.9435999
81,0.85733116
82,0.34486344
83,0.52703
84,0.8314218
85,0.2000906
86,0.40031138
87,0.5683035
88,0.40579462
89,0.51313645
90,0.8789086
91,0.66770256
92,0.4929236
93,0.6036744
94,0.54625326
95,0.35092384
96,0.037965376
97,0.7027322
98,0.5683035
99,0.3921045
100,0.8914231
101,0.8687496
102,0.1384752
103,0.7553324
104,0.15110816
105,0.6555059
106,0.6506648
107,0.10934141
108,0.9069571
109,0.45841473
110,0.2216639
111,0.22019556
112,0.6901624
113,0.72564304
114,0.35092384
115,0.6954943
116,0.12846711
117,0.52703
118,0.17053024
119,0.6629002
120,0.38168526
121,0.59491587
122,0.13376504
123,0.18880616
124,0.5333517
125,0.67707324
126,0.62572354
127,0.20088057
128,0.14751439
129,0.89902556
130,0.15110816
131,0.8122525
132,0.21872082
133,0.42558536
134,0.54222846
135,0.6204756
136,0.528652
137,0.34796175
138,0.22544289
139,0.7190509
140,0.7045559
141,0.48670125
142,0.6439798
143,0.5749561
144,0.6448868
145,0.4264327
146,0.86650866
147,0.6074885
148,0.7763359
149,0.5843428
150,0.5843428
151,0.8523842
152,0.8522273
153,0.2935211
154,0.97018
155,0.8997601
156,0.2413431
157,0.3550458
158,0.4134374
159,0.60983986
160,0.624152
161,0.9561615
162,0.65311563
163,0.53220433
164,0.5843428
165,0.59016615
166,0.7872188
167,0.77615994
168,0.5457185
169,0.5997263
170,0.13376504
171,0.42184424
172,0.9213562
173,0.69362766
174,0.90128565
175,0.36181834
176,0.33592272
177,0.9829913
178,0.41804427
179,0.8752425
180,0.966616
181,0.9729552
182,0.5591697
183,0.81693053
184,0.72768694
185,0.66473615
186,0.8562891
187,0.8996686
188,0.7688231
189,0.3620283
190,0.980383
191,0.95634377
192,0.037092995
193,0.7072222
194,0.023526285
195,0.5141974
196,0.15022753
197,0.5510503
198,0.69774187
199,0.8132507
200,0.889805
201,0.66946507
202,0.40245056
203,0.19822396
204,0.31399864
205,0.8294145
206,0.8997173
207,0.52841777
208,0.94764537
209,0.51393396
210,0.5843428
211,0.98489887
212,0.9846241
213,0.09026816
214,0.49558046
215,0.22086523
216,0.8244359
217,0.23283468
218,0.4618594
219,0.84207845
220,0.58155435
221,0.35996157
222,0.9846241
223,0.95944816
224,0.8211312
225,0.4759773
226,0.5551955
227,0.75993776
228,0.39336485
229,0.0
230,0.9009967
231,0.8848044
232,0.28190243
233,0.25933695
234,0.5001674
235,0.9678611
236,0.3941684
237,0.7022623
238,0.21102996
239,0.32460806
240,0.06192727
241,0.5749561
242,0.78811044
243,0.6854061
244,0.6244178
245,0.6180585
246,0.8593059
247,0.8834113
248,0.5653151
249,0.445556
250,0.5757525
251,0.42558536
252,0.8448239
253,0.084093645
254,0.9541484
255,0.8788686
256,0.18718295
257,0.69406974
258,0.7649319
259,0.3921045
260,0.7218165
261,0.9473092
262,0.4227436
263,1.0
264,0.06889048
265,0.27319592
266,0.07378372
267,0.8730612
268,0.514811
269,0.92477584
270,0.966616
271,0.967953
272,0.67707324
273,0.6460922
274,0.8735227
275,0.9529356
276,0.78147423
277,0.9025945
278,0.595547
279,0.5390789
280,0.4344762
281,0.6356275
282,0.12846711
283,0.5398985
284,0.54625326
285,1.0
286,0.62273246
287,0.70919025
288,0.05403412
289,0.984109
290,0.67478436
291,0.7268417
292,0.62353134
293,0.13962628
294,0.55887
295,0.015691578
296,0.24915947
297,0.12465253
298,0.82487446
299,0.4946299
300,0.7602991
301,0.3921045
302,0.38698867
303,0.24787061
304,0.24648526
305,0.5660554
306,0.4682663
307,0.8848044
308,0.97018
309,0.45768952
310,0.3712948
311,0.30718762
312,0.6316194
313,0.97309005
314,0.26863617
315,0.9371436
316,0.5635002
317,0.8354458
318,0.619971
319,0.14587939
320,0.6588602
321,0.82828486
322,0.7914421
323,0.8979271
324,0.79844093
325,0.9351757
326,0.39363286
327,0.75890106
328,0.8650757
329,0.6256042
330,0.3044805
331,0.3338612
332,0.5581387
333,0.51656514
334,0.69337064
335,0.8627583
336,0.5242317
337,0.5683035
338,0.52370125
339,0.4564666
340,0.7834339
341,0.579507
342,0.39606816
343,0.86498207
344,0.58930534
345,0.6829185
346,0.84789306
347,0.38785732
348,0.9008657
349,0.8283158
350,0.67846864
351,0.62691027
352,0.108151324
353,0.72813094
354,0.73373187
355,0.52530235
356,0.9473092
357,0.7174659
358,0.23856038
359,0.44373116
360,0.8734678
361,0.8653987
362,0.1520945
363,0.4910005
364,0.64975363
365,0.43509737
366,0.40236256
367,0.10680415
368,0.05755581
369,0.6652292
370,0.58504343
371,0.67867404
372,0.90875477
373,0.8745024
374,0.66800195
375,0.86312026
376,0.9529356
377,0.44520485
378,0.9881915
379,0.5768019
380,0.42259148
381,0.34172997
382,0.50734967
383,0.7006465
384,0.44226575
385,0.40121937
386,0.5795581
387,0.077700384
388,0.35092384
389,0.34452045
390,0.5119894
391,0.1283476
392,0.7961625
393,0.9777944
394,0.6448868
395,0.22086729
396,0.88637286
397,0.5678534
398,0.97309005
399,0.64617276
400,0.5604983
401,0.91279817
402,0.874537
