index,winner_ratio
0,0.8353065
1,0.8583844
2,0.62914723
3,0.3750577
4,0.87354845
5,0.6555845
6,0.75328916
7,0.13238615
8,0.89560187
9,0.91140103
10,0.38629594
11,0.09608539
12,0.31457376
13,0.40317598
14,0.41208294
15,0.8602803
16,0.19636935
17,0.8839585
18,0.5059776
19,0.90701616
20,0.6550002
21,0.0196522
22,0.26208878
23,0.7267739
24,0.42547405
25,0.5952981
26,0.52345425
27,0.9676498
28,0.6230394
29,0.3895308
30,0.8511423
31,0.3082534
32,0.6615975
33,0.97186327
34,1.0
35,0.5770263
36,0.3813447
37,0.85904026
38,0.9483975
39,0.5676505
40,0.9392198
41,0.92720026
42,0.72642606
43,0.5684574
44,0.7293917
45,0.43198448
46,0.83319545
47,0.7158801
48,0.8047189
49,0.50729984
50,0.9056785
51,0.68492734
52,0.8367434
53,0.6162441
54,0.3574049
55,0.49879295
56,0.8241082
57,0.49228522
58,0.72154766
59,0.4866588
60,0.57261896
61,0.9484226
62,0.54242176
63,0.70923007
64,0.043764163
65,0.8800015
66,0.16285779
67,0.6454722
68,0.884851
69,0.114355564
70,0.7565116
71,0.8755657
72,0.44985914
73,0.601315
74,0.34279314
75,0.39220783
76,0.8562768
77,0.65007126
78,0.2551951
79,0.97907907
80,0.93986976
81,0.8591722
82,0.4232093
83,0.5349849
84,0.84575003
85,0.17675808
86,0.43191564
87,0.48308283
88,0.44718793
89,0.50919497
90,0.8496923
91,0.62230974
92,0.48962754
93,0.6166665
94,0.598848
95,0.41125205
96,0.040518776
97,0.70321864
98,0.59621763
99,0.45089397
100,0.90352744
101,0.8891328
102,0.1822598
103,0.75063854
104,0.14474678
105,0.52533996
106,0.6706794
107,0.114355564
108,0.9065519
109,0.4074269
110,0.13857105
111,0.1974817
112,0.6797809
113,0.8232258
114,0.21289533
115,0.71902597
116,0.16541225
117,0.5289289
118,0.17936084
119,0.6356047
120,0.36977568
121,0.6029514
122,0.21197985
123,0.17516103
124,0.5311197
125,0.69353557
126,0.60907376
127,0.20604423
128,0.11460551
129,0.93598336
130,0.16966006
131,0.81733733
132,0.23061046
133,0.37667665
134,0.5390067
135,0.63896155
136,0.5287737
137,0.3943215
138,0.2753959
139,0.733081
140,0.6901621
141,0.47895083
142,0.6464821
143,0.5969123
144,0.6192745
145,0.39117274
146,0.8846842
147,0.57584924
148,0.7832177
149,0.6609524
150,0.5983203
151,0.85450035
152,0.8898318
153,0.27072477
154,0.9678716
155,0.9134804
156,0.23000604
157,0.34892288
158,0.3339878
159,0.6259632
160,0.5933952
161,0.97045785
162,0.62959766
163,0.52101666
164,0.5083495
165,0.740995
166,0.7951303
167,0.84519917
168,0.56486225
169,0.61045974
170,0.18508153
171,0.43749624
172,0.9384192
173,0.69977754
174,0.8898884
175,0.46265846
176,0.28048524
177,0.9828498
178,0.46951607
179,0.8710899
180,0.9582227
181,0.98210096
182,0.5528258
183,0.79025704
184,0.7170904
185,0.5992514
186,0.87999254
187,0.90119267
188,0.77075577
189,0.34769762
190,0.9916646
191,0.9622747
192,0.04075926
193,0.6757016
194,0.06744861
195,0.5111431
196,0.18744355
197,0.54562396
198,0.72917134
199,0.6351665
200,0.94634444
201,0.67186075
202,0.46761122
203,0.10591199
204,0.254354
205,0.8374543
206,0.88110226
207,0.5507336
208,0.9493794
209,0.5712513
210,0.5541232
211,0.98308694
212,0.969564
213,0.06989801
214,0.51651573
215,0.21779281
216,0.806089
217,0.22432566
218,0.4574426
219,0.82067376
220,0.6018438
221,0.26690406
222,0.99269587
223,0.9994297
224,0.82728684
225,0.46430388
226,0.5754751
227,0.7603806
228,0.38388148
229,0.09052265
230,0.9190932
231,0.89980054
232,0.38062036
233,0.24094182
234,0.50670576
235,0.9784318
236,0.39818364
237,0.69487524
238,0.2597831
239,0.33098197
240,0.08987929
241,0.5969123
242,0.7727776
243,0.7043866
244,0.5078146
245,0.59782994
246,0.85887164
247,0.8980505
248,0.5440231
249,0.46991265
250,0.5628749
251,0.38629594
252,0.8193381
253,0.1442617
254,0.9400013
255,0.8604143
256,0.188105
257,0.6999195
258,0.6983164
259,0.43441796
260,0.7617141
261,0.95830315
262,0.38910386
263,1.0
264,0.08851709
265,0.3191629
266,0.1154432
267,0.8819388
268,0.5472467
269,0.924441
270,1.0
271,0.99888587
272,0.5952981
273,0.6273598
274,0.8679267
275,0.952462
276,0.7853979
277,0.8830506
278,0.60634816
279,0.576397
280,0.4754458
281,0.63209885
282,0.082902916
283,0.5407438
284,0.598848
285,1.0
286,0.6960216
287,0.77952695
288,0.08225192
289,1.0
290,0.690934
291,0.71994865
292,0.6145488
293,0.13118567
294,0.5489044
295,0.0196522
296,0.21472132
297,0.14034422
298,0.8024265
299,0.5235084
300,0.77035016
301,0.3813447
302,0.36075267
303,0.24506341
304,0.28694722
305,0.56526196
306,0.49866706
307,0.8839585
308,0.9699575
309,0.44169822
310,0.38306618
311,0.30778643
312,0.62116206
313,0.9766569
314,0.28712574
315,0.94351363
316,0.5219139
317,0.9725511
318,0.65360236
319,0.18948442
320,0.6414495
321,0.8476183
322,0.8653272
323,0.9006766
324,0.7764469
325,0.9360527
326,0.4072215
327,0.5889547
328,0.93410385
329,0.54956806
330,0.35605723
331,0.37989134
332,0.5509919
333,0.5167246
334,0.7462676
335,0.8506699
336,0.5682867
337,0.5094577
338,0.52421963
339,0.36446983
340,0.811579
341,0.5892762
342,0.40891588
343,0.8385746
344,0.5859902
345,0.54196465
346,0.8710946
347,0.42933515
348,0.9553024
349,0.84279346
350,0.74798614
351,0.64519036
352,0.12625359
353,0.74083203
354,0.7356559
355,0.53611505
356,0.94722384
357,0.728093
358,0.25850186
359,0.5446954
360,0.84843665
361,0.871053
362,0.18902269
363,0.44695482
364,0.67089987
365,0.5287405
366,0.4654732
367,0.11327679
368,0.04121378
369,0.66363245
370,0.4674453
371,0.6669592
372,0.9250092
373,0.87305725
374,0.67749095
375,0.866751
376,0.8586714
377,0.4740096
378,0.9670761
379,0.5348717
380,0.3696028
381,0.33330315
382,0.57281554
383,0.6693963
384,0.42454246
385,0.46921158
386,0.6329652
387,0.08540581
388,0.3633908
389,0.15120262
390,0.45344302
391,0.109653026
392,0.8098164
393,0.9489706
394,0.6538807
395,0.30812535
396,0.90939635
397,0.5571968
398,0.9766569
399,0.6024591
400,0.59072226
401,0.9247591
402,0.8746911
403,0.8903562
404,0.81360817
405,0.95201683
406,0.2112442
407,0.5766332
408,0.33151728
409,0.4059402
410,0.57152134
411,0.39117274
412,0.4971731
413,0.51593626
414,0.9539928
415,0.57116187
416,0.3633908
417,0.47283638
418,0.42013073
419,0.2063692
420,0.6065574
421,0.4772362
422,0.6389034
423,0.8753093
424,0.6544143
425,0.9786451
426,0.10928646
427,0.041146077
428,0.3508213
429,0.85956264
430,0.8382593
431,0.69839025
432,0.23596407
433,0.65292585
434,0.101197675
435,0.8790666
436,0.88211125
437,0.27143252
438,0.820742
439,0.9889608
440,0.50729984
441,0.6671353
442,0.8540184
443,0.6922608
444,0.07443529
445,0.601315
446,0.92348224
447,0.63915384
448,0.85325474
449,0.49287006
450,0.13199228
451,0.06965085
452,0.18706293
453,0.9052001
454,0.72429085
455,0.6145488
456,0.47289318
457,0.4406278
458,0.601315
459,0.7713073
460,0.85032886
461,0.560437
462,0.90645206
463,0.47839162
464,0.5050095
465,0.7855885
466,0.8201151
467,0.7116891
468,0.89947957
469,0.23701629
470,0.81116724
471,0.38276315
472,0.6970937
473,0.38473237
474,0.4704175
475,0.6435679
476,0.4485713
477,0.7860621
